cellid,lat,lon,home,high_dens,mid_dens,low_dens,work,transport
5672,45.4761886,9.2261906,1,1,0,0,1,0
5673,45.4761826,9.2291974,1,1,0,0,1,0
5674,45.476176599999995,9.232204,1,1,0,0,1,0
5675,45.4761704,9.235210400000001,1,0,1,0,1,0
5676,45.476164,9.238217200000001,0,0,0,1,0,1
5677,45.4761576,9.2412238,1,0,1,0,1,0
5678,45.4761514,9.2442302,0,0,1,0,1,0
5679,45.476144999999995,9.2472372,1,0,1,0,1,0
5680,45.4761382,9.250244,1,0,1,0,0,1
5681,45.476131599999995,9.2532506,0,0,0,1,1,1
5682,45.4761252,9.256257,0,0,0,1,1,0
5763,45.478354,9.199138399999999,1,1,0,0,0,0
5764,45.4783488,9.202144999999998,1,1,0,0,0,0
5765,45.47834340000001,9.2051518,1,1,0,0,0,0
5766,45.478337999999994,9.208158599999999,1,1,0,0,0,0
5767,45.4783326,9.2111656,1,1,0,0,0,0
5768,45.478326800000005,9.2141722,1,1,0,0,0,1
5769,45.478321400000006,9.2171786,1,1,0,0,0,0
5770,45.478315599999995,9.220185599999999,1,1,0,0,0,1
5771,45.4783096,9.223192399999999,1,1,0,0,1,0
5772,45.4783036,9.2261992,1,1,0,0,1,0
5773,45.478297600000005,9.229206000000001,0,1,0,0,1,0
5774,45.4782916,9.2322124,1,0,1,0,1,0
5775,45.47828559999999,9.2352192,0,0,1,0,1,0
5776,45.4782794,9.2382262,0,0,0,1,1,1
5777,45.478272999999994,9.241233000000001,1,0,1,0,0,0
5778,45.4782666,9.2442396,1,0,1,0,1,0
5779,45.4782602,9.247246200000001,1,0,1,0,1,0
5780,45.47825340000001,9.2502532,1,0,1,0,0,0
5781,45.478246999999996,9.25326,0,0,0,1,0,1
5782,45.478240199999995,9.2562668,0,0,0,1,1,0
5863,45.48046939999999,9.1991458,1,1,0,0,0,1
5864,45.480464,9.2021526,1,1,0,0,0,0
5865,45.48045880000001,9.2051596,1,1,0,0,1,0
5866,45.4804534,9.2081666,1,1,0,0,0,0
5867,45.48044779999999,9.2111736,1,1,0,0,0,1
5868,45.4804424,9.2141802,1,1,0,0,0,1
5869,45.480436600000004,9.2171866,1,1,0,0,0,0
5870,45.4804306,9.2201936,1,1,0,0,0,0
5871,45.48042459999999,9.2232006,1,1,0,0,0,1
5872,45.4804188,9.2262076,1,1,0,0,1,0
5873,45.480413,9.2292144,1,1,0,0,1,0
5874,45.4804066,9.232221199999998,1,1,0,0,1,0
5875,45.480400599999996,9.2352282,1,1,0,0,0,0
5876,45.4803946,9.2382352,0,0,0,1,1,1
5877,45.480388399999995,9.2412422,1,0,1,0,1,0
5878,45.480382000000006,9.244249,1,0,1,0,1,0
5879,45.4803754,9.2472556,1,0,1,0,1,0
5880,45.48036900000001,9.2502622,1,0,1,0,0,0
5881,45.4803622,9.2532692,0,0,0,1,1,1
5882,45.48035539999999,9.2562762,0,0,0,1,1,0
5963,45.4825848,9.199152999999999,1,1,0,0,0,0
5964,45.4825794,9.202160000000001,1,1,0,0,1,0
5965,45.48257399999999,9.205167,1,1,0,0,1,0
5966,45.4825686,9.2081742,1,1,0,0,0,0
5967,45.48256299999999,9.2111816,1,1,0,0,0,0
5968,45.4825576,9.214188400000001,1,1,0,0,1,0
5969,45.4825516,9.2171952,1,1,0,0,0,0
5970,45.482545800000004,9.2202022,1,1,0,0,0,0
5971,45.482540199999995,9.2232092,1,1,0,0,0,0
5972,45.4825344,9.2262162,1,1,0,0,1,0
5973,45.48252839999999,9.2292232,1,1,0,0,0,0
5974,45.4825222,9.2322302,1,1,0,0,0,0
5975,45.482516,9.2352372,1,1,0,0,0,0
5976,45.4825096,9.2382442,1,0,1,0,0,1
5977,45.482503599999994,9.2412512,1,0,1,0,1,0
5978,45.4824972,9.2442582,1,0,1,0,1,0
5979,45.4824906,9.247265,0,0,1,0,1,0
5980,45.4824842,9.250271799999998,0,0,1,0,1,1
5981,45.4824774,9.2532788,0,0,0,1,1,0
5982,45.482471,9.2562858,0,0,0,1,1,0
6063,45.4847,9.199160599999999,1,1,0,0,1,0
6064,45.4846948,9.202167600000001,1,1,0,0,1,0
6065,45.48468939999999,9.2051746,1,1,0,0,1,0
6066,45.4846838,9.2081818,1,1,0,0,0,1
6067,45.48467839999999,9.2111892,1,1,0,0,0,0
6068,45.484672599999996,9.2141966,1,1,0,0,0,0
6069,45.4846668,9.2172036,1,1,0,0,0,0
